,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1995-10-01,53.86232387062952,54.32591440186559,35.034585270355,35.20774328502633,9.25219402924753,9.514400626542427,115.27016200716528,115.45282858707101,87.56761914551879,87.76600424691453,18.260755619847522,18.384411815135902
1996-01-01,54.149874652395546,54.69139810499493,35.308291161595925,35.4528029701098,9.327380509109048,9.657250325898893,115.24025770760915,115.89301650236872,87.99470023275043,88.21126825420087,18.33009922606155,18.429699897153885
1996-04-01,54.91488182538503,55.065934176664875,35.68888284274811,35.70430546212784,9.696521952702184,9.803068395981802,116.04683935004259,116.32322219463248,88.39688095418583,88.67782942899923,18.475463929540076,18.47712731423992
1996-07-01,55.25007646357818,55.44823818124662,35.83841870405783,35.9620834285085,10.017693151552166,9.950855216666753,116.66666636821607,116.73776848216322,88.85323391821755,89.16543192863837,18.490630563906564,18.526844352636086
1996-10-01,55.65523827335417,55.83689368161959,36.06750116750138,36.22595494846998,9.973263970037808,10.099479408575656,117.64538419074371,117.13073022652627,89.36368556127687,89.67364470783407,18.48825300750354,18.579002512836052
1997-01-01,55.75498944843365,56.230317786835606,36.22327023501891,36.49565402272777,10.150080202549692,10.247784098158858,118.10559280459138,117.49607055792262,89.70567149446128,90.20183643562918,18.4497657067597,18.63373293907819
1997-04-01,56.558604713569245,56.62676657082272,36.32510675303176,36.77080561447566,10.55785407851466,10.394464565263018,118.40931717726897,117.82802031583334,90.30687732133705,90.74917066006243,18.640839311054908,18.691111918690662
1997-07-01,57.11670096899874,57.02414343332175,36.78527179829455,37.05084931895689,10.715788071228763,10.53808347784215,118.78227846159446,118.12115593024792,90.95627626924757,91.31448072812323,18.739283888950528,18.751101239676593
1997-10-01,57.44648498244313,57.42024933755195,37.1158953444766,37.33492231161476,10.777254481674541,10.677237750895962,118.9982531355105,118.37040216678952,91.61464556649408,91.8962938264764,18.777780011280814,18.813631339236007
1998-01-01,57.89057334608758,57.81288351901366,37.355497185923994,37.62196521078066,11.18001936667833,10.810577892301415,119.48549146174025,118.57110272233243,92.3236928568801,92.49287450648904,18.82189140594478,18.878625026675923
1998-04-01,58.281074696587694,58.199804015289544,37.89739373849419,37.91074572554881,11.018371171814861,10.936770710499356,119.81084160346536,118.71902050570498,93.09548409157662,93.10226444579939,18.860358500452787,18.94598211965851
1998-07-01,58.84512653302089,58.57876242335066,38.237286897807216,38.199823390890934,11.236151288361416,11.054678248970916,119.60742874576518,118.8105360777471,93.77979744400533,93.72234618509326,19.015131519903417,19.015565812860906
